18/06/2011,18/06/2011,Riot Season 1 Championship,against All authority,Epik Gamer,0,1,sOAZ,Linak,MoMa,YellOwStaR,kujaa,Westrice,Dan Dinh,Salce,Dyrus,Doublelift,Irelia,Soraka,Karthus,Miss Fortune,Amumu,Singed,Annie,Warwick,Janna,Vayne
18/06/2011,18/06/2011,Riot Season 1 Championship,Fnatic,Team Pacific,1,0,xPeke,Shushei,CyanideFI,LamiaZealot,Mellisan,vy,dabe,wormy,iddo,gibo,Nunu,Corki,Janna,Malzahar,Alistar,Garen,Karthus,Taric,Amumu,Twisted Fate
18/06/2011,18/06/2011,Riot Season 1 Championship,against All authority,Fnatic,1,0,sOAZ,Linak,MoMa,YellOwStaR,kujaa,xPeke,Shushei,CyanideFI,LamiaZealot,Mellisan,Sona,Nunu,Ashe,Gragas,Anivia,Miss Fortune,Brand,Vladimir,Taric,Amumu
18/06/2011,18/06/2011,Riot Season 1 Championship,Epik Gamer,Team Pacific,1,0,Westrice,Dan Dinh,Salce,Dyrus,Doublelift,vy,dabe,wormy,iddo,gibo,Taric,Nunu,Miss Fortune,Corki,Vladimir,Poppy,Malzahar,Urgot,Soraka,Warwick
18/06/2011,18/06/2011,Riot Season 1 Championship,against All authority,Team Pacific,1,0,sOAZ,Linak,MoMa,YellOwStaR,kujaa,vy,dabe,wormy,iddo,gibo,Miss Fortune,Sona,Anivia,Nunu,Nidalee,Malzahar,Trundle,Ashe,Corki,Soraka
18/06/2011,18/06/2011,Riot Season 1 Championship,Epik Gamer,Fnatic,1,0,Westrice,Dan Dinh,Salce,Dyrus,Doublelift,xPeke,Shushei,CyanideFI,LamiaZealot,Mellisan,Lee Sin,Akali,Soraka,Amumu,Vladimir,Swain,Alistar,Jarvan IV,Taric,Miss Fortune
18/06/2011,18/06/2011,Riot Season 1 Championship,Team SoloMid,Xan,0,1,TheRainMan,TheOddOne,Reginald,Chaox,Xpecial,Vech,Radeon6870,Axion,d4rkness,iNtrigueD,Caitlyn,Sona,Amumu,Cho'Gath,Vladimir,Ashe,Mordekaiser,Brand,Janna,Nocturne
18/06/2011,18/06/2011,Riot Season 1 Championship,Team GAMED.DE,Counter Logic Gaming,0,1,Kev1n,Zylor,Reyk,Candy Panda,Nyph,HotshotGG,Saintvicious,Bigfatlp,Chauster,Elementz,Corki,Gragas,Brand,Janna,Alistar,Ashe,Vladimir,Swain,Warwick,Sona
18/06/2011,18/06/2011,Riot Season 1 Championship,Team GAMED.DE,Xan,1,0,Kev1n,Zylor,Reyk,Candy Panda,Nyph,Vech,Radeon6870,Axion,d4rkness,iNtrigueD,Alistar,Tristana,Nidalee,Sona,Brand,Vayne,Jarvan IV,Annie,Janna,Nunu
18/06/2011,18/06/2011,Riot Season 1 Championship,Team SoloMid,Counter Logic Gaming,1,0,TheRainMan,TheOddOne,Reginald,Chaox,Xpecial,HotshotGG,Saintvicious,Bigfatlp,Chauster,Elementz,Annie,Nocturne,Jarvan IV,Alistar,Vayne,Corki,Anivia,Malzahar,Sona,Warwick
18/06/2011,18/06/2011,Riot Season 1 Championship,Team SoloMid,Team GAMED.DE,1,0,TheRainMan,TheOddOne,Reginald,Chaox,Xpecial,Kev1n,Zylor,Reyk,Candy Panda,Nyph,Singed,Soraka,Nunu,Vayne,Twisted Fate,Kassadin,Ashe,Taric,Alistar,Karthus
18/06/2011,18/06/2011,Riot Season 1 Championship,Counter Logic Gaming,Xan,1,0,HotshotGG,Saintvicious,Bigfatlp,Chauster,Elementz,Vech,Radeon6870,Axion,d4rkness,iNtrigueD,Ashe,Taric,Nunu,Nidalee,Rumble,Lee Sin,Brand,Trundle,Sona,Corki
