19/06/2011,19/06/2011,Riot Season 1 Championship,against All authority,Team GAMED.DE,1,0,sOAZ,Linak,MoMa,YellOwStaR,kujaa,Kev1n,Zylor,Reyk,Candy Panda,Nyph,Malzahar,Nunu,Warwick,Janna,Ashe,Brand,Tristana,Taric,Anivia,Amumu
19/06/2011,19/06/2011,Riot Season 1 Championship,Counter Logic Gaming,Fnatic,0,1,HotshotGG,Saintvicious,Bigfatlp,Chauster,Elementz,xPeke,Shushei,CyanideFI,LamiaZealot,Mellisan,Vayne,Dr. Mundo,Swain,Sona,Nunu,Malzahar,Janna,Jarvan IV,Ashe,Anivia
19/06/2011,19/06/2011,Riot Season 1 Championship,Fnatic,Counter Logic Gaming,1,0,xPeke,Shushei,CyanideFI,LamiaZealot,Mellisan,HotshotGG,Saintvicious,Bigfatlp,Chauster,Elementz,Sona,Gragas,Nunu,Swain,Ashe,Caitlyn,Warwick,Annie,Janna,Vladimir
19/06/2011,19/06/2011,Riot Season 1 Championship,Team GAMED.DE,Counter Logic Gaming,0,1,Kev1n,Zylor,Reyk,Candy Panda,Nyph,HotshotGG,Saintvicious,Bigfatlp,Chauster,Elementz,Trundle,Caitlyn,Lux,Taric,Ashe,Gangplank,Corki,Zilean,Ashe,Anivia
19/06/2011,19/06/2011,Riot Season 1 Championship,Team SoloMid,against All authority,1,0,TheRainMan,TheOddOne,Reginald,Chaox,Xpecial,sOAZ,Linak,MoMa,YellOwStaR,kujaa,Annie,Corki,Jarvan IV,Alistar,Nunu,Sona,Vladimir,Amumu,Anivia,Ashe
19/06/2011,19/06/2011,Riot Season 1 Championship,against All authority,Team SoloMid,1,0,sOAZ,Linak,MoMa,YellOwStaR,kujaa,TheRainMan,TheOddOne,Reginald,Chaox,Xpecial,Janna,Malzahar,Warwick,Corki,Nunu,Trundle,Irelia,Zilean,Jarvan IV,Taric
19/06/2011,19/06/2011,Riot Season 1 Championship,Team SoloMid,against All authority,0,1,TheRainMan,TheOddOne,Reginald,Chaox,Xpecial,sOAZ,Linak,MoMa,YellOwStaR,kujaa,Caitlyn,Singed,Vladimir,Alistar,Nunu,Malzahar,Sona,Amumu,Rumble,Corki
19/06/2011,19/06/2011,Riot Season 1 Championship,Epik Gamer,Fnatic,0,1,Westrice,Dan Dinh,Salce,Dyrus,Doublelift,xPeke,Shushei,CyanideFI,LamiaZealot,Mellisan,Swain,Soraka,Nunu,Jarvan IV,Vayne,Malzahar,Ashe,Amumu,Janna,Alistar
19/06/2011,19/06/2011,Riot Season 1 Championship,Fnatic,Epik Gamer,1,0,xPeke,Shushei,CyanideFI,LamiaZealot,Mellisan,Westrice,Dan Dinh,Salce,Dyrus,Doublelift,Karthus,Ashe,Alistar,Jarvan IV,Janna,Soraka,Blitzcrank,Vayne,Malzahar,Nunu
20/06/2011,20/06/2011,Riot Season 1 Championship,against All authority,Fnatic,0,1,sOAZ,Linak,MoMa,YellOwStaR,kujaa,xPeke,Shushei,CyanideFI,LamiaZealot,Mellisan,Warwick,Miss Fortune,Anivia,Sona,Nidalee,Janna,Jarvan IV,Gragas,Malzahar,Corki
20/06/2011,20/06/2011,Riot Season 1 Championship,Fnatic,against All authority,1,0,xPeke,Shushei,CyanideFI,LamiaZealot,Mellisan,sOAZ,Linak,MoMa,YellOwStaR,kujaa,Ashe,Sona,Jarvan IV,Malzahar,Anivia,Annie,Janna,Nocturne,Karthus,Corki
20/06/2011,20/06/2011,Riot Season 1 Championship,Team SoloMid,Epik Gamer,1,0,TheRainMan,TheOddOne,Reginald,Chaox,Xpecial,Westrice,Dan Dinh,Salce,Dyrus,Doublelift,Warwick,Alistar,Jarvan IV,Annie,Corki,Tristana,Miss Fortune,Malzahar,Nunu,Janna
20/06/2011,20/06/2011,Riot Season 1 Championship,Epik Gamer,Team SoloMid,0,1,Westrice,Dan Dinh,Salce,Dyrus,Doublelift,TheRainMan,TheOddOne,Reginald,Chaox,Xpecial,Janna,Amumu,Singed,Miss Fortune,Annie,Twisted Fate,Ashe,Teemo,Taric,Nunu
20/06/2011,20/06/2011,Riot Season 1 Championship,against All authority,Team SoloMid,1,0,sOAZ,Linak,MoMa,YellOwStaR,kujaa,TheRainMan,TheOddOne,Reginald,Chaox,Xpecial,Janna,Sion,Malzahar,Nunu,Vayne,Cho'Gath,Teemo,Warwick,Alistar,Twisted Fate
20/06/2011,20/06/2011,Riot Season 1 Championship,Fnatic,against All authority,0,1,xPeke,Shushei,CyanideFI,LamiaZealot,Mellisan,sOAZ,Linak,MoMa,YellOwStaR,kujaa,Janna,Rammus,Corki,Brand,Malzahar,Ashe,Sona,Irelia,Anivia,Jarvan IV
20/06/2011,20/06/2011,Riot Season 1 Championship,against All authority,Fnatic,0,1,sOAZ,Linak,MoMa,YellOwStaR,kujaa,xPeke,Shushei,CyanideFI,LamiaZealot,Mellisan,Corki,Irelia,Malzahar,Janna,Jarvan IV,Brand,Sona,Warwick,Ashe,Karthus
18/08/2011,18/08/2011,IEM Season VI - Global Challenge Cologne,Millenium,Team ALTERNATE,1,0,Linak,Shlaya,Tidus,kujaa,sOAZ,unso,Forellenlord,Lycades,CedeoCedeo,Timson,Taric,Caitlyn,Irelia,Annie,Lee Sin,Udyr,Vayne,Lux,Olaf,Soraka
18/08/2011,18/08/2011,IEM Season VI - Global Challenge Cologne,Team SoloMid,myRevenge,1,0,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,MeRusMePro,biggy,Cerberus,Brainquiche,Syex,Lee Sin,Tristana,Alistar,Brand,Udyr,Annie,Janna,Caitlyn,Irelia,Amumu
18/08/2011,18/08/2011,IEM Season VI - Global Challenge Cologne,myRevenge,Millenium,0,1,MeRusMePro,biggy,Cerberus,Brainquiche,Syex,Linak,Shlaya,Tidus,kujaa,sOAZ,Warwick,Ashe,Taric,Brand,Irelia,Swain,Gangplank,Soraka,Caitlyn,Lee Sin
18/08/2011,18/08/2011,IEM Season VI - Global Challenge Cologne,Team SoloMid,Team ALTERNATE,1,0,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,unso,Forellenlord,Lycades,CedeoCedeo,Timson,Zilean,Tristana,Udyr,Alistar,Gangplank,Gragas,Janna,Olaf,Caitlyn,Anivia
18/08/2011,18/08/2011,IEM Season VI - Global Challenge Cologne,Millenium,Team SoloMid,0,1,Linak,Shlaya,Tidus,kujaa,sOAZ,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,Jax,Nunu,Soraka,Caitlyn,Annie,Janna,Brand,Udyr,Gangplank,Ashe
18/08/2011,18/08/2011,IEM Season VI - Global Challenge Cologne,myRevenge,Team ALTERNATE,0,1,MeRusMePro,biggy,Cerberus,Brainquiche,Syex,unso,Forellenlord,Lycades,CedeoCedeo,Timson,Nocturne,Anivia,Soraka,Caitlyn,Olaf,Amumu,Sona,Yorick,Ashe,Orianna
19/08/2011,19/08/2011,IEM Season VI - Global Challenge Cologne,Fnatic,SK Gaming,1,0,Shushei,CyanideFI,xPeke,LamiaZealot,Mellisan,Ocelote,WetDreaM,Wickd,Candy Panda,Nyph,Annie,Tristana,Brand,Janna,Amumu,Anivia,Ashe,Soraka,Lee Sin,Udyr
19/08/2011,19/08/2011,IEM Season VI - Global Challenge Cologne,Frag eXecutors,Counter Logic Gaming,0,1,Alvado,Kubon,Ismaro,iMba,Nicker,HotshotGG,Bigfatlp,Saintvicious,Elementz,Salce,Anivia,Karthus,Soraka,Caitlyn,Nocturne,Lee Sin,Ashe,Zilean,Alistar,Jax
19/08/2011,19/08/2011,IEM Season VI - Global Challenge Cologne,Fnatic,Frag eXecutors,1,0,Shushei,CyanideFI,xPeke,LamiaZealot,Mellisan,Alvado,Kubon,Ismaro,iMba,Nicker,Brand,Karthus,Janna,Tristana,Amumu,Ashe,Annie,Galio,Fiddlesticks,Alistar
19/08/2011,19/08/2011,IEM Season VI - Global Challenge Cologne,Counter Logic Gaming,SK Gaming,1,0,HotshotGG,Bigfatlp,Saintvicious,Elementz,Salce,Ocelote,WetDreaM,Wickd,Candy Panda,Nyph,Annie,Lee Sin,Alistar,Ashe,Nidalee,Rumble,Soraka,Vayne,Warwick,Nocturne
19/08/2011,19/08/2011,IEM Season VI - Global Challenge Cologne,Counter Logic Gaming,Fnatic,1,0,HotshotGG,Bigfatlp,Saintvicious,Elementz,Salce,Shushei,CyanideFI,xPeke,LamiaZealot,Mellisan,Kog'Maw,Cho'Gath,Alistar,Gangplank,Orianna,Kassadin,Janna,Gragas,Ashe,Lee Sin
20/08/2011,20/08/2011,IEM Season VI - Global Challenge Cologne,Counter Logic Gaming,Millenium,1,0,HotshotGG,Bigfatlp,Saintvicious,Elementz,Salce,Linak,Shlaya,Tidus,kujaa,sOAZ,Caitlyn,Soraka,Brand,Nocturne,Jax,Anivia,Amumu,Kog'Maw,Zilean,Alistar
20/08/2011,20/08/2011,IEM Season VI - Global Challenge Cologne,Millenium,Counter Logic Gaming,0,1,Linak,Shlaya,Tidus,kujaa,sOAZ,HotshotGG,Bigfatlp,Saintvicious,Elementz,Salce,Trundle,Soraka,Brand,Ashe,Lee Sin,Fiddlesticks,Cho'Gath,Caitlyn,Alistar,Annie
20/08/2011,20/08/2011,IEM Season VI - Global Challenge Cologne,Counter Logic Gaming,Millenium,1,0,HotshotGG,Bigfatlp,Saintvicious,Elementz,Salce,Linak,Shlaya,Tidus,kujaa,sOAZ,Cho'Gath,Kog'Maw,Sona,Nocturne,Zilean,Cassiopeia,Irelia,Trundle,Ashe,Alistar
20/08/2011,20/08/2011,IEM Season VI - Global Challenge Cologne,Team SoloMid,Fnatic,1,0,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,Shushei,CyanideFI,xPeke,LamiaZealot,Mellisan,Singed,Alistar,Caitlyn,Gangplank,Orianna,Amumu,Tristana,Janna,Anivia,Karthus
20/08/2011,20/08/2011,IEM Season VI - Global Challenge Cologne,Fnatic,Team SoloMid,1,0,Shushei,CyanideFI,xPeke,LamiaZealot,Mellisan,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,Karthus,Nocturne,Soraka,Urgot,Brand,Warwick,Lee Sin,Caitlyn,Zilean,Alistar
20/08/2011,20/08/2011,IEM Season VI - Global Challenge Cologne,Team SoloMid,Fnatic,1,0,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,Shushei,CyanideFI,xPeke,LamiaZealot,Mellisan,Irelia,Jax,Gangplank,Zilean,Soraka,Malzahar,Janna,Urgot,Nocturne,Annie
21/08/2011,21/08/2011,IEM Season VI - Global Challenge Cologne,Fnatic,Millenium,1,0,Shushei,CyanideFI,xPeke,LamiaZealot,Mellisan,Linak,Shlaya,Tidus,kujaa,sOAZ,Tristana,Nocturne,Jax,Soraka,Karthus,Rumble,Gangplank,Zilean,Urgot,Janna
21/08/2011,21/08/2011,IEM Season VI - Global Challenge Cologne,Millenium,Fnatic,1,0,Linak,Shlaya,Tidus,kujaa,sOAZ,Shushei,CyanideFI,xPeke,LamiaZealot,Mellisan,Nocturne,Sona,Kog'Maw,Cho'Gath,Zilean,Swain,Gragas,Tristana,Soraka,Gangplank
21/08/2011,21/08/2011,IEM Season VI - Global Challenge Cologne,Fnatic,Millenium,1,0,Shushei,CyanideFI,xPeke,LamiaZealot,Mellisan,Linak,Shlaya,Tidus,kujaa,sOAZ,Akali,Anivia,Urgot,Nocturne,Soraka,Sion,Sona,Tristana,Gragas,Amumu
21/08/2011,21/08/2011,IEM Season VI - Global Challenge Cologne,Team SoloMid,Counter Logic Gaming,1,0,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,HotshotGG,Bigfatlp,Saintvicious,Elementz,Salce,Janna,Kog'Maw,Irelia,Nocturne,Alistar,Caitlyn,Cho'Gath,Sona,Gangplank,Annie
21/08/2011,21/08/2011,IEM Season VI - Global Challenge Cologne,Counter Logic Gaming,Team SoloMid,1,0,HotshotGG,Bigfatlp,Saintvicious,Elementz,Salce,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,Kog'Maw,Galio,Lee Sin,Soraka,Zilean,Irelia,Annie,Sona,Fiddlesticks,Ashe
21/08/2011,21/08/2011,IEM Season VI - Global Challenge Cologne,Team SoloMid,Counter Logic Gaming,0,1,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,HotshotGG,Bigfatlp,Saintvicious,Elementz,Salce,Sona,Gangplank,Caitlyn,Udyr,Nidalee,Vladimir,Urgot,Cho'Gath,Soraka,Nocturne
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Counter Logic Gaming,Curse Gaming,0,1,HotshotGG,Voyboy,Saintvicious,Elementz,Chauster,Nyjacky,Lapaka,Pobelter,LiQuiD112,DontMashMe,Alistar,Kennen,Caitlyn,Nocturne,Renekton,Jax,Janna,Ryze,Vayne,Gangplank
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Curse Gaming,Counter Logic Gaming,0,1,Nyjacky,Lapaka,Pobelter,LiQuiD112,DontMashMe,HotshotGG,Voyboy,Saintvicious,Elementz,Chauster,Annie,Vayne,Irelia,Janna,Lee Sin,Ashe,Nocturne,Udyr,Alistar,Orianna
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Counter Logic Gaming,Curse Gaming,1,0,HotshotGG,Voyboy,Saintvicious,Elementz,Chauster,Nyjacky,Lapaka,Pobelter,LiQuiD112,DontMashMe,Alistar,Ashe,Galio,Lee Sin,Akali,Ryze,Nocturne,Gragas,Soraka,Caitlyn
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Epik Gamer,Team SoloMid,0,1,Salce,Westrice,PGoldenBoy,Dan Dinh,Dyrus,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,Vladimir,Singed,Sona,Caitlyn,Udyr,Ashe,Nidalee,Taric,Amumu,Brand
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Team SoloMid,Epik Gamer,0,1,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,Salce,Westrice,PGoldenBoy,Dan Dinh,Dyrus,Irelia,Kog'Maw,Nocturne,Brand,Soraka,Vladimir,Singed,Miss Fortune,Taric,Lee Sin
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Epik Gamer,Team SoloMid,1,0,Salce,Westrice,PGoldenBoy,Dan Dinh,Dyrus,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,Karthus,Vayne,Swain,Lee Sin,Soraka,Singed,Sona,Gangplank,Brand,Jax
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Team SoloMid,Curse Gaming,1,0,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,Nyjacky,Lapaka,Pobelter,LiQuiD112,DontMashMe,Tristana,Cho'Gath,Sona,Nocturne,Brand,Gragas,Irelia,Lee Sin,Caitlyn,Soraka
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Counter Logic Gaming,Epik Gamer,1,0,HotshotGG,Voyboy,Saintvicious,Elementz,Chauster,Salce,Westrice,PGoldenBoy,Dan Dinh,Dyrus,Janna,Ashe,Nocturne,Jax,Orianna,Garen,Caitlyn,Vladimir,Fiddlesticks,Sona
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Epik Gamer,Counter Logic Gaming,0,1,Salce,Westrice,PGoldenBoy,Dan Dinh,Dyrus,HotshotGG,Voyboy,Saintvicious,Elementz,Chauster,Miss Fortune,Vayne,Swain,Amumu,Sona,Galio,Janna,Ashe,Lee Sin,Akali
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Epik Gamer,Curse Gaming,0,1,Salce,Westrice,PGoldenBoy,Dan Dinh,Dyrus,Nyjacky,Lapaka,Pobelter,LiQuiD112,DontMashMe,Olaf,Caitlyn,Swain,Sona,Udyr,Veigar,Gangplank,Vayne,Janna,Jax
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Curse Gaming,Epik Gamer,0,1,Nyjacky,Lapaka,Pobelter,LiQuiD112,DontMashMe,Salce,Westrice,PGoldenBoy,Dan Dinh,Dyrus,Anivia,Sona,Udyr,Gangplank,Miss Fortune,Karthus,Annie,Vayne,Lee Sin,Soraka
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Epik Gamer,Curse Gaming,1,0,Salce,Westrice,PGoldenBoy,Dan Dinh,Dyrus,Nyjacky,Lapaka,Pobelter,LiQuiD112,DontMashMe,Karthus,Ashe,Swain,Sona,Lee Sin,Alistar,Ryze,Gangplank,Vayne,Jax
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Team SoloMid,Counter Logic Gaming,0,1,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,HotshotGG,Voyboy,Saintvicious,Elementz,Chauster,Gangplank,Irelia,Kog'Maw,Brand,Soraka,Cho'Gath,Corki,Taric,Udyr,Lee Sin
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Counter Logic Gaming,Team SoloMid,0,1,HotshotGG,Voyboy,Saintvicious,Elementz,Chauster,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,Akali,Sona,Galio,Ashe,Nocturne,Irelia,Lee Sin,Kog'Maw,Brand,Soraka
27/08/2011,27/08/2011,2011 MLG Pro Circuit - Raleigh,Team SoloMid,Counter Logic Gaming,0,1,Chaox,TheOddOne,Reginald,Xpecial,TheRainMan,HotshotGG,Voyboy,Saintvicious,Elementz,Chauster,Vladimir,Lee Sin,Vayne,Soraka,Udyr,Cho'Gath,Nocturne,Taric,Ezreal,Jax
28/08/2011,28/08/2011,2011 MLG Pro Circuit - Raleigh,Counter Logic Gaming,Epik Gamer,1,0,HotshotGG,Voyboy,Saintvicious,Elementz,Chauster,Salce,Westrice,PGoldenBoy,Dan Dinh,Dyrus,Alistar,Ashe,Cho'Gath,Udyr,Gangplank,Annie,Vayne,Akali,Soraka,Lee Sin
28/08/2011,28/08/2011,2011 MLG Pro Circuit - Raleigh,Epik Gamer,Counter Logic Gaming,0,1,Salce,Westrice,PGoldenBoy,Dan Dinh,Dyrus,HotshotGG,Voyboy,Saintvicious,Elementz,Chauster,Soraka,Karthus,Ashe,Vladimir,Lee Sin,Gangplank,Alistar,Caitlyn,Jax,Udyr
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,Invictus Gaming,CrossGaming,1,0,Wh1t3zZ,XiaoXiao,MikakoTabe,Chrls,LuFFY,Toyz,Ana2k,DomhoX,KinGbB,SiuKiu,Ashe,Rumble,Annie,Janna,Gangplank,Sona,Amumu,Kog'Maw,Galio,Morgana
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,EHOME,SK Gaming,1,0,Pdd,MAX,LUCKY,CR,ILY,Ocelote,Snoopeh,Wickd,Candy Panda,Nyph,Vayne,Akali,Taric,Rumble,Gangplank,Anivia,Ezreal,Alistar,Sona,Irelia
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,SK Gaming,CrossGaming,1,0,Ocelote,Snoopeh,Wickd,Candy Panda,Nyph,Toyz,Ana2k,DomhoX,KinGbB,SiuKiu,Cassiopeia,Amumu,Janna,Gangplank,Kog'Maw,Mordekaiser,Yorick,Taric,Lee Sin,Brand
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,Invictus Gaming,EHOME,1,0,Wh1t3zZ,XiaoXiao,MikakoTabe,Chrls,LuFFY,Pdd,MAX,LUCKY,CR,ILY,Annie,Singed,Ezreal,Janna,Udyr,Tristana,Sona,Nocturne,Vayne,Galio
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,EHOME,CrossGaming,0,1,Pdd,MAX,LUCKY,CR,ILY,Toyz,Ana2k,DomhoX,KinGbB,SiuKiu,Ezreal,Janna,Udyr,Galio,Brand,Zilean,Garen,Taric,Vayne,Fiddlesticks
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,Invictus Gaming,SK Gaming,0,1,Wh1t3zZ,XiaoXiao,MikakoTabe,Chrls,LuFFY,Ocelote,Snoopeh,Wickd,Candy Panda,Nyph,Udyr,Vayne,Janna,Zilean,Morgana,Amumu,Talon,Taric,Kog'Maw,Kassadin
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,Team WE,Millenium,1,0,Misaya,Weixiao,YJTM,if,YMS,Linak,YellOwStaR,Tidus,kujaa,sOAZ,Karthus,Alistar,Ezreal,Fiddlesticks,Galio,Gangplank,Urgot,Lee Sin,Janna,Orianna
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,Counter Logic Gaming,Flash eSports,0,1,HotshotGG,Bigfatlp,Elementz,saintvicious,Chauster,EquivocaL,ly4ly4ly4,Kailing,d4rkness,Malicious,Nocturne,Sona,Cassiopeia,Caitlyn,Galio,Mordekaiser,Ashe,Annie,Janna,Gangplank
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,Team WE,Flash eSports,1,0,Misaya,Weixiao,YJTM,if,YMS,EquivocaL,ly4ly4ly4,Kailing,d4rkness,Malicious,Singed,Gangplank,Alistar,Ezreal,Karthus,Caitlyn,Taric,Morgana,Jarvan IV,Twisted Fate
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,Millenium,Counter Logic Gaming,0,1,Linak,YellOwStaR,Tidus,kujaa,sOAZ,HotshotGG,Bigfatlp,Elementz,saintvicious,Chauster,Singed,Maokai,Taric,Caitlyn,Cassiopeia,Urgot,Cho'Gath,Sona,Lee Sin,Orianna
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,Millenium,Flash eSports,1,0,Linak,YellOwStaR,Tidus,kujaa,sOAZ,EquivocaL,ly4ly4ly4,Kailing,d4rkness,Malicious,Vayne,Alistar,Udyr,Kassadin,Lee Sin,Twisted Fate,Ezreal,Shaco,Blitzcrank,Akali
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,Team WE,Counter Logic Gaming,1,0,Misaya,Weixiao,YJTM,if,YMS,HotshotGG,Bigfatlp,Elementz,saintvicious,Chauster,Gragas,Warwick,Twisted Fate,Caitlyn,Taric,Sona,Urgot,Zilean,Lee Sin,Orianna
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,EHOME,Team WE,0,1,Pdd,MAX,LUCKY,CR,ILY,Misaya,Weixiao,YJTM,if,YMS,Zilean,Akali,Kog'Maw,Sona,Alistar,Singed,Karthus,Warwick,Taric,Vayne
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,Team WE,EHOME,0,1,Misaya,Weixiao,YJTM,if,YMS,Pdd,MAX,LUCKY,CR,ILY,Ezreal,Alistar,Gragas,Twisted Fate,Warwick,Vayne,Morgana,Fiddlesticks,Garen,Sona
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,EHOME,Team WE,0,1,Pdd,MAX,LUCKY,CR,ILY,Misaya,Weixiao,YJTM,if,YMS,Morgana,Mordekaiser,Alistar,Caitlyn,Fiddlesticks,Taric,Ezreal,Nocturne,Twisted Fate,Galio
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,SK Gaming,Counter Logic Gaming,1,0,Ocelote,Snoopeh,Wickd,Candy Panda,Nyph,HotshotGG,Bigfatlp,Elementz,saintvicious,Chauster,Irelia,Amumu,Cassiopeia,Janna,Caitlyn,Lee Sin,Ashe,Taric,Cho'Gath,Zilean
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,Counter Logic Gaming,SK Gaming,1,0,HotshotGG,Bigfatlp,Elementz,saintvicious,Chauster,Ocelote,Snoopeh,Wickd,Candy Panda,Nyph,Cho'Gath,Ezreal,Udyr,Janna,Orianna,Akali,Irelia,Tristana,Taric,Gangplank
01/10/2011,05/10/2011,IEM Season VI - Global Challenge Guangzhou,SK Gaming,Counter Logic Gaming,0,1,Ocelote,Snoopeh,Wickd,Candy Panda,Nyph,HotshotGG,Bigfatlp,Elementz,saintvicious,Chauster,Sona,Irelia,Amumu,Janna,Kog'Maw,Sivir,Taric,Kennen,Gangplank,Galio
