31	Snoopeh
31	Rekkles
30	FZZF/Fzzf
30	ocelote/Ocelote
30	Lustboy
30	Mata
30	Cpt Jack/CaptainJack
30	Ambition
29	Meteos
29	Saintvicious/saintvicious
29	Helios
29	Wickd
29	HotshotGG
29	ClearLove
28	CyanideFI/Cyanide
28	Misaya
27	xPeke
27	Impact/impact
27	imp
27	Weixiao/WeiXiao
27	Zz1tai/Zzitai/zz1tai
26	Chauster
26	Elementz
26	Reginald
26	Xpecial
26	Diamond_(Russian)/Diamondprox
26	dade/Dade
26	Shy
26	XiaoXiao
26	Darien
26	Jintae
26	Araneae
26	MiSTakE
26	Bigfatlp/bigfatlp
26	KaKAO
25	Alex Ich
25	Genja007/Genja
25	GoSu Pepper/Edward
25	CloudTemplar/Relax
25	PDD/Pdd
25	illuSioN
25	Bloodwater/bloodwater/BloodWater
25	sOAZ
25	Lilballz
25	Patoy
25	puszu
25	Nyph
25	Deficio
25	Sycho Sid
25	nRated
25	Xmithie
24	WildTurtle/Wild Turtle
24	NintendudeX
24	RapidStar
24	Hai L9/Hai
24	Lemonnation/LemonNation
24	Balls/balis
24	easyhoon/Easyhoon
24	FantasyStar/Reapered
24	MadLife
24	LUCKY/Lucky
24	Imaqtpie/imaqtpie
24	LY4/ly4ly4ly4
24	Lin/LoveLin
24	gogoing/Gogoing
24	Pomelo/bigpomelo/bigpalemo
24	Cain/Nurinim
24	Scarra/scarra
24	Tabzz
24	Zorozero
24	Nukeduck
24	YaNgSin/DanDy
23	Candy Panda/CandyPanda
23	Woong
23	Jing
23	Crumbzz/Crumbz/crumbzz
23	Cool
23	mandatorycloud/mancloud
23	HarLeLuYar/HaRleLuYaR
23	Fantastic Song/SSONG
23	Dyrus
23	Freeze
23	Cop
23	MaKNooN/MakNooN/MaknooN
23	Homme
23	watch/Watch
23	Troll Kim/PraY
22	LOL PRO/Creaton
22	ecco
22	YellOwStar/YellOwStaR
22	MaFa/Mafa
22	kid/Kid
22	Zero
22	Locodoco
22	Sneaky/CaStRoO/SnEaKyCaStRoO
22	Uzi
22	Bebe/bebeisadog/BeBe
22	Froggen
22	hyhy
22	Stanley
22	ZionSpartan
22	Zuna
22	Joker/Score
22	Krepo
22	TheOddOne
22	Sicca
22	NaMel/Devil_(Chinese)/NaMei/NaMeI
22	JoJo/Van
22	LightAluka/Aluka
21	Hiro
21	Lautemortis
21	Ragan
21	inSec/insec
21	Ryu
21	Chaox
21	Wh1t3zZ
21	H0R0
20	AtomicN/At0mic
20	Doublelift
20	Mokatte
20	Czaru
20	Makler
20	xHazzard
20	Bjergsen/XL Bjergsen
20	Tabe/MikakoTabe
20	yellowpete/Yellowpete
20	Nien/Nientonsoh
20	Mithy
20	LiNk
20	Piglet
20	Faker
20	bengi/Bengi
20	Jree
20	IWillDominate/I Will Dominate
20	Voyboy
20	Daydreamin
20	Umbrella/San/san
20	Heartbeat/Heartbeattt
20	MegaZero
19	ManDu/PoohManDu
19	a Lilac
19	Paragon
19	TheTess
19	Raven/UandME
19	StarLast
19	Kubon
19	CaoMei/Caomei
19	Kerp
19	L0CUST/L0cust
19	Forellenlord/ForellenLord
19	SuNo
19	extinkt
19	Nyjacky
19	Jîmß0wnz/jimbownz/Jimbownz
19	Godlike/GoDlike
19	hyrqBot/hyrqbot
18	ToFuBoi/Tofu
18	MrAlbis
18	Prydz
18	Toyz
18	Kev1n/kev1n
18	Rhux
18	LamiaZealot
18	Safety
18	EquivocaL
18	Cheonju/ChuChu
18	d4rkness
18	Daydream
18	comet
18	SBS
18	Svenskeren
18	Godbro
18	Mor/Mro
18	QTV
18	HosaN
18	Westrice
17	Vitamin
17	brunch Ü
17	TheRainMan/The Rain Man
17	GreenTea
17	Malunoo
17	ssumday/Ssumday
17	zig/Zig
17	MrParadoXical/ParadoXical
17	sxspp/HooN_(Korean)
17	Shushei
17	Lasha
17	Muvert
17	Ellie Beee/MeyeA
17	MidKing
17	NIXWATER
17	XXF/ForeverXXF
17	TheRealKiWiKiD/KiWiKiD
17	frommaplestreet/maplestreet
17	Pixel3/Pixel
17	Yazuki
16	Evaniskus
16	Nono
16	Fredy122
16	Wall
16	NoFe/NOFE
16	YoungBuck
16	Jatt
16	Shiphtur
15	SKLz
15	wewillfailer
15	Westdoor
15	Lantyr
15	Hankun/HanKun/Hermes
15	Angush
15	May
15	Libik
15	PR0LLY
15	Brokenshard
15	ManyReason
15	Morden
15	Samux
15	Cris
15	YJTM
15	Save/Yelloout
15	Nubbypoohbear/nubypoohbear/nubbypoohbear
15	Roron
15	ViRtU4l
15	Kikis
15	if
15	ImSoFresh
15	MOKUZA
15	YMS
15	Ring Troll
15	LongPanda
15	Kkinsh/kkinsh
15	Aphromoo
15	Nickwu
15	Badagaje/Space
14	Warm
14	Flame
14	Kujaa/kujaa
14	Salce
14	GoldeN/GoldeNz
14	ArQuel
14	Vileroze
14	Troll
14	Demunlul
14	Karalius
14	Grom
14	Muffinqt
14	Linak
14	Wingsofdeathx/wingsofdeathx
14	Voidle
13	Spontexx
13	GarnetDevil
13	Dexter/dexter1
13	iNoobish
13	Exter/Exterminare
13	Babeta
13	Cinku/cinkowski
13	Xaxus
13	Overpow
13	Cruzerthebruzer
13	Ziv
13	Solo_(Korean)/ChuNyang/SoLo/Nyang
13	Mellisan
13	MoMa
13	MulrOc/ReSEt
12	Kailing
12	enVision
12	LoCicero
12	DontMashMe
12	Aci/Violet
12	Junie
12	youmeng
12	Mortred
12	HaoKai
12	ArTie
12	I am Anjo
12	MAX
12	ChouD1
12	Pgggggg
12	NeXAbc/Abc
12	Dedrayon
12	Chawy
12	Expession/ExpesSion
12	Celaver
12	Dan Dinh
12	ming9/ming9 2
12	MIma/Mima
12	Dioud
12	MoNk3yz
12	Dull/Jun
12	donmuri
11	Pyl
11	Unstoppable
11	DinTer
11	Chirs/Chrls
11	Cornsalad
11	D4rker
11	Chuuper
11	VeryBerry/Me5
11	Hao
11	Hagane
11	Mylon
11	Rafes
11	PureGoldenBoy/PGoldenBoy/puregoldenboy
11	H4T3
11	PF
11	TaintedOnes
11	RedSuNz/RedHotRayz
11	Nk Inc
11	Wayoff
11	Snowy
11	F1sh
11	Dreams_(Chinese)
11	Dragon_(Chinese)
11	Santa
11	Pheilox
10	XiaoWeiXiao
10	Zonda
10	Rui
10	Warhunter
10	TieuQuy
10	wAhzLeNs/WahzleNs
10	Pobelter
10	Egg
10	viNylCat
